Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BAT_BAT-HLD-007-SMT-TR",87.150000,-8.000000,180.000000,top
"C1","100nF","C_0402_1005Metric",165.176291,2.869798,90.000000,top
"C2","10µF","C_0805_2012Metric",85.500000,64.750000,180.000000,top
"C3","100µF","CP_EIA-7343-31_Kemet-D",87.650000,56.637500,-90.000000,top
"C4","10µF","C_0805_2012Metric",188.226291,0.008389,90.000000,top
"C5","10µF","C_0805_2012Metric",91.050000,19.000000,180.000000,top
"C6","10µF","C_0805_2012Metric",190.226291,0.008389,90.000000,top
"C7","10µF","C_0805_2012Metric",83.550000,55.075000,0.000000,top
"C8","10µF","C_0805_2012Metric",83.550000,57.475000,0.000000,top
"C9","100nF","C_0402_1005Metric",88.980000,63.750000,0.000000,top
"C10","100nF","C_0402_1005Metric",189.500000,-2.980000,-90.000000,top
"C11","4.7nF","C_0402_1005Metric",187.500000,-3.020000,90.000000,top
"C12","100nF","C_0402_1005Metric",141.076291,-8.550202,90.000000,top
"C13","100nF","C_0402_1005Metric",146.326291,-7.650202,90.000000,top
"C14","10µF","C_0805_2012Metric",184.226291,3.508389,-90.000000,top
"C15","10µF","C_0805_2012Metric",190.226291,3.508389,-90.000000,top
"C16","10µF","C_0805_2012Metric",188.226291,3.508389,-90.000000,top
"C17","10µF","C_0805_2012Metric",186.226291,3.495889,-90.000000,top
"C18","100nF","C_0402_1005Metric",88.980000,61.750000,0.000000,top
"C19","100nF","C_0402_1005Metric",186.750000,6.730000,90.000000,top
"C20","39µF","CP_Elec_8x6.7",97.750000,57.932110,-90.000000,top
"C21","10µF","C_0805_2012Metric",103.250000,53.800000,-90.000000,top
"C22","1µF","C_0402_1005Metric",105.250000,52.770000,-90.000000,top
"C23","4.7µF","C_1206_3216Metric",109.750000,46.275000,-90.000000,top
"C24","100nF","C_0402_1005Metric",111.983945,55.382110,90.000000,top
"C25","100nF","C_0402_1005Metric",111.183945,49.607110,-90.000000,top
"C26","56µF","CP_Elec_5x5.9",93.750000,49.300000,90.000000,top
"C27","33µF","C_1206_3216Metric",100.500000,49.775000,90.000000,top
"C28","33µF","C_1206_3216Metric",103.000000,49.775000,90.000000,top
"C29","33µF","C_1206_3216Metric",98.000000,49.775000,90.000000,top
"C30","1µF","C_0402_1005Metric",105.183945,50.862110,90.000000,top
"C31","0.1µF","C_0402_1005Metric",146.980000,6.000000,0.000000,top
"C32","0.1µF","C_0402_1005Metric",186.000000,-7.520000,-90.000000,top
"C33","0.1µF","C_0402_1005Metric",185.000000,-7.520000,90.000000,top
"C34","10µF","C_0402_1005Metric",102.380000,87.650000,0.000000,top
"C35","0.1µF","C_0402_1005Metric",102.380000,86.650000,0.000000,top
"C36","0.1µF","C_0402_1005Metric",102.380000,85.650000,0.000000,top
"C37","0.1µF","C_0402_1005Metric",102.380000,84.650000,0.000000,top
"C38","0.1µF","C_0402_1005Metric",102.380000,83.650000,0.000000,top
"C39","0.1µF","C_0402_1005Metric",102.420000,80.650000,0.000000,top
"C40","0.1µF","C_0402_1005Metric",102.420000,79.650000,0.000000,top
"C41","0.1µF","C_0402_1005Metric",102.420000,78.650000,0.000000,top
"C42","0.1µF","C_0402_1005Metric",102.420000,77.650000,0.000000,top
"C43","0.1µF","C_0402_1005Metric",102.420000,76.650000,0.000000,top
"C44","0.1µF","C_0402_1005Metric",102.420000,75.650000,0.000000,top
"C45","0.1µF","C_0402_1005Metric",102.420000,74.650000,0.000000,top
"C46","10µF","C_0402_1005Metric",102.420000,73.650000,0.000000,top
"C47","1µF","C_0402_1005Metric",102.420000,71.250000,180.000000,top
"C48","1µF","C_0402_1005Metric",96.400000,66.670000,-90.000000,top
"C49","100nF","C_0402_1005Metric",88.400000,70.264326,90.000000,top
"C50","0.1µF","C_0402_1005Metric",90.900000,70.244326,90.000000,top
"C51","22µF","CP_Elec_6.3x5.9",112.200000,65.250000,0.000000,top
"C52","10µF","C_0805_2012Metric",116.608662,70.500000,0.000000,top
"C53","4.7µF","C_1206_3216Metric",122.775000,76.750000,0.000000,top
"C54","1µF","C_0402_1005Metric",116.858662,72.200000,0.000000,top
"C55","100nF","C_0402_1005Metric",115.980000,77.500000,180.000000,top
"C56","10µF","C_0805_2012Metric",192.500000,-2.200000,-90.000000,top
"C57","100µF","CP_EIA-7343-31_Kemet-D",191.120000,-6.500000,0.000000,top
"C58","10µF","C_0805_2012Metric",184.950000,-5.500000,180.000000,top
"C59","10µF","C_0805_2012Metric",190.450000,-10.000000,0.000000,top
"C60","3.9pF","C_0402_1005Metric",106.250000,48.020000,-90.000000,top
"C61","470pF","C_0402_1005Metric",107.183945,48.020000,-90.000000,top
"C62","560pF","C_0402_1005Metric",121.730000,74.250000,0.000000,top
"C63","1pF","C_0402_1005Metric",121.730000,73.250000,0.000000,top
"C64","1µF","C_0402_1005Metric",118.770000,72.200000,180.000000,top
"C65","100nF","C_0402_1005Metric",119.480000,77.500000,0.000000,top
"C66","47µF","C_0402_1005Metric",119.520000,70.250000,180.000000,top
"C67","47µF","C_0402_1005Metric",119.520000,71.250000,180.000000,top
"C68","47µF","C_0402_1005Metric",119.520000,69.250000,180.000000,top
"C69","270µF","CP_Elec_6.3x9.9",121.800000,65.000000,180.000000,top
"C70","0.1µF","C_0402_1005Metric",78.520000,89.750000,0.000000,top
"C71","10µF","C_0402_1005Metric",76.480000,86.500000,0.000000,top
"D1","LED Red","LED_0603_1608Metric",72.500000,102.212500,90.000000,top
"D2","LED Green","LED_0603_1608Metric",72.500000,96.000000,90.000000,top
"D3","LED Green","LED_0603_1608Metric",194.287500,4.500000,180.000000,top
"FB1","220Ω @ 100Mhz","BEADC1005X55N",102.468000,82.400000,180.000000,top
"FB2","220Ω @ 100Mhz","BEADC1005X55N",102.401738,72.538436,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",74.750000,-3.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",150.000000,-12.200000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",82.500000,79.750000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",192.800000,73.000000,0.000000,top
"J1","USB-C","216989-0001_MOL",79.397400,97.722900,180.000000,top
"J2","Conn_2x07_Male","PinHeader_2x07_P2.54mm_Vertical",99.000000,14.800000,180.000000,top
"J3","Conn_1x03_Male","PinHeader_1x03_P2.54mm_Vertical",194.000000,103.000000,-90.000000,top
"J4","Bus_M.2_Socket_M","M.2 M Key socket",188.750000,20.500000,-90.000000,top
"J5","Conn_1x22_Female","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",110.250000,-13.600202,0.000000,top
"J6","USB-C","216989-0001_MOL",87.856600,97.722900,180.000000,top
"J7","Micro_SD_Card_Det","SDCARD_MOLEX_503398-1892",78.416291,22.719798,90.000000,top
"J8","Conn_2x20_Male","PinHeader_2x20_P2.54mm_Vertical",135.760000,37.040000,-90.000000,top
"J10","USB-C","216989-0001_MOL",96.870200,97.722900,180.000000,top
"J11","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",74.171291,72.750000,-90.000000,top
"J14","JST_BM04B-SRSS-TB","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",192.175000,94.500000,90.000000,top
"J15","USB_C_Receptacle","USB_C_Receptacle_Molex_105450-0101",183.180000,-13.925000,0.000000,top
"J16","JST_BM04B-SRSS-TB","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",86.250000,8.000000,90.000000,top
"J17","USB-C","216989-0001_MOL",105.356600,97.722900,180.000000,top
"J19","Conn_1x03_Male","PinHeader_1x03_P2.54mm_Vertical",74.250000,4.750000,180.000000,top
"J22","Conn_HDMI","EDAC 690-019-298-412",131.526291,-9.500202,0.000000,top
"J51","12V Fan 1","CONN_SD-47053-001_H10p00_MOL",113.276291,4.249798,90.000000,top
"J52","12V Fan 2","CONN_SD-47053-001_H10p00_MOL",121.000000,4.280000,90.000000,top
"J53","12V Fan 3","CONN_SD-47053-001_H10p00_MOL",128.600000,4.250000,90.000000,top
"J54","12V Fan 4","CONN_SD-47053-001_H10p00_MOL",136.646800,4.253364,90.000000,top
"J100","Screw Terminal","KEYSTONE_7790",120.276291,99.199798,-90.000000,top
"J101","Screw Terminal","KEYSTONE_7790",140.776291,99.199798,-90.000000,top
"L1","2.2µH","L_Bourns_SRP5030CC",180.326291,0.908389,90.000000,top
"L2","4.7µH","L_Bourns_SRN8040TA",117.183945,52.207110,-90.000000,top
"L3","4.7µH","L_Bourns_SRN8040TA",117.425000,84.200000,0.000000,top
"Module1","ComputeModule5-CM5","Raspberry-Pi-5-Compute-Module",183.123709,103.453707,180.000000,top
"R1","1kΩ","R_0402_1005Metric",74.000000,96.990000,90.000000,top
"R2","470Ω","R_0402_1005Metric",173.500000,3.490000,90.000000,top
"R3","470Ω","R_0402_1005Metric",172.000000,3.490000,90.000000,top
"R4","10kΩ","R_0402_1005Metric",127.500000,92.740000,90.000000,top
"R6","887kΩ","R_0402_1005Metric",107.750000,55.990000,-90.000000,top
"R7","100kΩ","R_0402_1005Metric",109.000000,55.990000,90.000000,top
"R8","48.7kΩ","R_0402_1005Metric",106.000000,56.010000,90.000000,top
"R9","470Ω","R_0402_1005Metric",76.490000,90.000000,180.000000,top
"R10","1kΩ","R_0402_1005Metric",74.515000,101.250000,0.000000,top
"R11","105kΩ","R_0402_1005Metric",107.183945,45.990000,-90.000000,top
"R12","15kΩ","R_0402_1005Metric",82.990000,59.000000,180.000000,top
"R13","50kΩ","R_0402_1005Metric",113.490000,73.750000,180.000000,top
"R14","100kΩ","R_0402_1005Metric",184.510000,-2.500000,0.000000,top
"R15","10kΩ","R_0402_1005Metric",186.490000,-3.010000,90.000000,top
"R16","2.2kΩ","R_0402_1005Metric",188.500000,-3.010000,-90.000000,top
"R17","1kΩ","R_0402_1005Metric",192.760000,6.750000,180.000000,top
"R18","887kΩ","R_0402_1005Metric",113.490000,75.000000,0.000000,top
"R19","100kΩ","R_0402_1005Metric",113.490000,76.500000,180.000000,top
"R20","105kΩ","R_0402_1005Metric",123.760000,74.250000,0.000000,top
"R21","10kΩ","R_0402_1005Metric",152.000000,6.990000,-90.000000,top
"R22","10kΩ","R_0402_1005Metric",155.990000,2.500000,180.000000,top
"R23","10kΩ","R_0402_1005Metric",152.500000,-2.000000,90.000000,top
"R24","10kΩ","R_0402_1005Metric",151.000000,-2.010000,90.000000,top
"R25","5.1kΩ","R_0402_1005Metric",182.500000,-7.490000,90.000000,top
"R26","5.1kΩ","R_0402_1005Metric",183.990000,-7.490000,90.000000,top
"R27","9.53kΩ","R_0402_1005Metric",95.900000,70.274326,-90.000000,top
"R28","4.7kΩ","R_0402_1005Metric",85.750000,79.750000,0.000000,top
"R29","10kΩ","R_0402_1005Metric",146.990000,4.500000,180.000000,top
"R30","10kΩ","R_0402_1005Metric",146.990000,3.000000,180.000000,top
"R31","22kΩ","R_0402_1005Metric",155.990000,4.000000,0.000000,top
"R32","33kΩ","R_0402_1005Metric",146.990000,1.500000,180.000000,top
"R33","10kΩ","R_0402_1005Metric",87.267707,70.254326,-90.000000,top
"R34","5.1kΩ","R_0402_1005Metric",82.510000,96.000000,0.000000,top
"R35","5.1kΩ","R_0402_1005Metric",91.010000,96.000000,0.000000,top
"R36","5.1kΩ","R_0402_1005Metric",99.990000,96.000000,0.000000,top
"R37","5.1kΩ","R_0402_1005Metric",108.490000,96.000000,0.000000,top
"R38","5.1kΩ","R_0402_1005Metric",101.500000,93.000000,0.000000,top
"R39","5.1kΩ","R_0402_1005Metric",93.000000,94.750000,0.000000,top
"R40","5.1kΩ","R_0402_1005Metric",84.000000,94.750000,0.000000,top
"R41","5.1kΩ","R_0402_1005Metric",76.250000,94.010000,90.000000,top
"R42","100kΩ","R_0402_1005Metric",74.490000,90.750000,0.000000,top
"R46","15kΩ","R_0402_1005Metric",182.240000,-5.500000,0.000000,top
"SW1","Right angle Tact button","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",74.500000,58.500000,90.000000,top
"SW2","Right angle Tact button","SW_Tactile_SPST_Angled_PTS645Vx31-2LFS",74.500000,47.500000,90.000000,top
"U1","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",168.276291,2.884798,-90.000000,top
"U2","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",162.276291,2.884798,-90.000000,top
"U3","MagJack-A70-112-331N126","TRJG0926HENL",165.876291,-9.330202,0.000000,top
"U4","PTPS55289RYQR","RYQ0021A-MFG",107.683945,51.882109,-90.000000,top
"U5","74LVC1G07SE-7","SOT-353_SC-70-5",75.050000,103.950000,-90.000000,top
"U6","AP22653W6","SOT-23-6",83.550000,61.637500,-90.000000,top
"U7","ASEK-32.768KHZ-L-R-T","Crystal_SMD_3225-4Pin_3.2x2.5mm",183.650000,7.100000,0.000000,top
"U8","AP3441SHE-7B","DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm",185.226291,-0.441611,180.000000,top
"U9","SK6812","LED-SMD_4P-L4.0-W1.6-L",73.000000,87.750000,-90.000000,top
"U10","EMC2305-x-AP","Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm_ThermalVias",151.475000,2.975000,0.000000,top
"U11","TUSB4041I","Texas_TQFP-64-1EP_10x10mm_P0.5mm_EP8x8mm_Mask4.44x4.44mm_ThermalVias",93.400000,79.650000,0.000000,top
"U12","RT9742SNGV","TSOT-23_HandSoldering",143.626291,-6.650202,90.000000,top
"U13","TLV73311PDBV","SOT-23-5",99.762500,67.200000,0.000000,top
"U14","PTPS55289RYQR","RYQ0021A-MFG",117.750001,74.700000,0.000000,top
"U15","AP22653W6","SOT-23-6",178.550000,-5.887500,-90.000000,top
"U16","SN74AHCT1G125DRLR","DRL5-L",77.075500,88.000001,180.000000,top
"U17","TCA9538DBR","DB0016A_N",127.524999,87.775001,0.000000,top
"U18","RT9742GGJ5","SOT-23-5",91.362500,23.550000,180.000000,top
"Y1","ECS-2520MV-240-CN-TR","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",93.325000,70.039326,90.000000,top
